S,American Put,European Put
0,9.672161004820058,9.672161004820058
2,8.0,7.672161004820685
4,6.0,5.672183013917643
6,4.0,3.684534773246824
8,2.002589234310632,1.9061401524357136
10,0.5794110568167574,0.7496459433759641
12,0.0968910171874475,0.23379456413183664
14,0.010621831233156919,0.061962074647398224
16,0.0008876091529980698,0.014800362531164069
